Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3364-2193-8253-61174,"Aug 1, 2021",11:07:28 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mth8,US,GA,30032,USD,5.49,0.84265,EUR,4.63
GPA.3364-2193-8253-61174,"Aug 1, 2021",11:07:28 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mth8,US,GA,30032,USD,-0.82,0.84265,EUR,-0.69
GPA.3376-8028-3299-83130,"Aug 1, 2021",11:07:43 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mth8,US,GA,30032,USD,3.49,0.84265,EUR,2.94
GPA.3376-8028-3299-83130,"Aug 1, 2021",11:07:43 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mth8,US,GA,30032,USD,-0.52,0.84265,EUR,-0.44
GPA.3316-2970-3065-13412,"Aug 1, 2021",1:10:21 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gts7xlwifi,US,NE,68005,USD,3.49,0.8427,EUR,2.94
GPA.3316-2970-3065-13412,"Aug 1, 2021",1:10:21 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gts7xlwifi,US,NE,68005,USD,-0.52,0.8427,EUR,-0.44
GPA.3300-0537-9454-52629,"Aug 1, 2021",1:10:36 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gts7xlwifi,US,NE,68005,USD,5.49,0.8427,EUR,4.63
GPA.3300-0537-9454-52629,"Aug 1, 2021",1:10:36 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gts7xlwifi,US,NE,68005,USD,-0.82,0.8427,EUR,-0.69
GPA.3349-3181-3147-87125,"Aug 1, 2021",3:13:25 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,p3q,US,NV,89429,USD,3.49,0.84245,EUR,2.94
GPA.3349-3181-3147-87125,"Aug 1, 2021",3:13:25 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,p3q,US,NV,89429,USD,-0.52,0.84245,EUR,-0.44
GPA.3317-8809-4185-67857,"Aug 1, 2021",3:14:11 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,p3q,US,NV,89429,USD,5.49,0.84245,EUR,4.63
GPA.3317-8809-4185-67857,"Aug 1, 2021",3:14:11 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,p3q,US,NV,89429,USD,-0.82,0.84245,EUR,-0.69
