Transaction ID,Date,Transaction Type,Product Title,Product ID,SKU ID,Country of Buyer,Buyer Postal Code,Amount (Merchant Currency)
GPA.3303-4769-9627-90855,2021-06-06,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,02746,2.87
GPA.3355-5944-4800-95388,2021-06-06,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,84318,2.87
GPA.3323-3333-6389-80594,2021-06-07,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,84318,4.52
GPA.3369-0298-9923-21375,2021-06-07,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,37876,4.52
GPA.3335-3362-6586-13492,2021-06-07,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,68022,4.51
GPA.3330-3487-4679-76653,2021-06-07,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,68022,2.87
GPA.3396-9960-1312-67792,2021-06-07,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48867,4.51
GPA.3311-5445-8806-03333,2021-06-07,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,48867,2.87
GPA.3393-4661-8728-27684,2021-06-07,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,21222,4.51
GPA.3386-0797-3650-89986,2021-06-07,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,71111,2.86
GPA.3336-4133-8739-85189,2021-06-07,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,71111,4.5
GPA.3326-9652-6904-31144,2021-06-07,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,76179,4.5
GPA.3331-7771-2039-61823,2021-06-07,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,65265,4.5
GPA.3308-9672-4100-79917,2021-06-07,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,38572,4.5
GPA.3376-3758-7991-17731,2021-06-07,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,AU,5048,4.62
GPA.3355-6662-2341-53676,2021-06-08,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,78006,4.51
GPA.3381-1953-8750-27682,2021-06-08,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,GB,TW20 8JA,1.75
GPA.3329-7790-3460-96050,2021-06-08,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,53012,4.51
GPA.3353-2828-6756-49118,2021-06-09,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,39501,2.86
GPA.3334-6553-5393-53343,2021-06-09,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,80260,4.51
GPA.3336-1656-2008-36732,2021-06-09,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,30458,2.87
GPA.3337-0434-3902-03667,2021-06-09,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,55906,4.51
GPA.3308-2566-3290-03133,2021-06-10,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,93257,2.87
GPA.3336-7839-8628-26160,2021-06-11,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,17407,2.88
GPA.3320-0136-3415-35727,2021-06-11,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,CA,K8H 1M8,3.05
GPA.3321-7438-9652-54108,2021-06-11,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,CA,K8H 1M8,5.09
GPA.3362-4931-7461-68934,2021-06-11,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,43229,4.54
GPA.3330-0219-9559-77582,2021-06-11,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,32404,4.53
GPA.3323-4183-5862-40242,2021-06-11,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,84128,4.53
GPA.3361-9400-4917-56154,2021-06-11,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,MX,31120,2.33
GPA.3312-2245-1710-24752,2021-06-11,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,97236,4.53
GPA.3372-3755-8322-72099,2021-06-11,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,53209,4.53
GPA.3380-6012-5825-86758,2021-06-12,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,SE,11320,1.72
GPA.3311-6019-6142-63316,2021-06-12,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,45662,2.88
GPA.3326-0748-3938-09990,2021-06-12,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,88012,4.53
GPA.3351-9019-7298-48816,2021-06-12,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,88012,2.88
GPA.3398-4344-0873-01349,2021-06-12,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,76048,4.53
GPA.3384-2720-5554-68512,2021-06-12,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,76048,2.88
GPA.3330-6104-0152-11644,2021-06-12,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,94928,4.53
GPA.3376-5711-3010-75650,2021-06-12,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,80909,4.53
GPA.3395-9229-4122-86557,2021-06-13,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,54481,4.53
GPA.3326-1467-3136-44214,2021-06-13,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,54481,2.88
GPA.3319-4614-1041-75472,2021-06-13,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,34972,2.88
GPA.3344-0877-4518-34800,2021-06-13,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,34972,4.53
GPA.3383-6175-3127-73103,2021-06-13,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48186,4.53
GPA.3336-5228-2489-94244,2021-06-13,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,61866,4.53
GPA.3388-7625-8251-25293,2021-06-13,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,86442,2.88
GPA.3385-6197-2841-23256,2021-06-13,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,25313,4.53
GPA.3360-3458-2080-65311,2021-06-13,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,76179,4.53
GPA.3364-9100-2496-74189,2021-06-13,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,39437,4.54
GPA.3357-1926-4773-25808,2021-06-13,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,CA,V2K 1Z1,3.05
GPA.3394-2985-9537-82636,2021-06-14,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,06241,2.88
GPA.3330-6698-3281-86502,2021-06-14,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,14561,4.53
GPA.3378-4222-0816-22878,2021-06-14,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,14561,2.88
GPA.3365-6142-2923-05650,2021-06-14,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,71235,2.88
GPA.3314-3979-5248-35681,2021-06-14,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,35802,2.88
GPA.3306-7207-8439-10434,2021-06-14,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,96002,2.88
GPA.3387-6305-2143-59167,2021-06-15,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,48187,2.88
GPA.3337-7195-8136-90200,2021-06-15,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,61944,4.53
GPA.3353-2180-4778-21112,2021-06-15,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,55904,2.88
GPA.3376-6283-3269-46211,2021-06-15,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,61944,2.88
GPA.3386-5134-3412-34245,2021-06-15,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,49307,2.88
GPA.3327-9248-9868-14455,2021-06-15,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,83647,2.88
GPA.3374-6444-5047-05182,2021-06-15,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,63037,2.88
GPA.3318-3987-2461-61750,2021-06-15,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,63037,4.53
GPA.3360-1178-1308-15923,2021-06-16,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,93433,2.88
GPA.3310-4759-2030-65282,2021-06-16,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,93433,4.53
GPA.3361-8676-6001-53856,2021-06-16,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,98008,2.88
GPA.3318-2586-1796-11269,2021-06-16,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,68521,4.58
GPA.3375-7841-5277-37998,2021-06-16,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,40272,2.91
GPA.3324-3517-6664-04569,2021-06-16,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,33173,4.58
GPA.3331-8690-8991-84147,2021-06-16,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,20657,2.91
GPA.3323-2083-7303-86910,2021-06-16,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,89081,4.57
GPA.3303-1106-2563-17520,2021-06-17,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,74055,2.93
GPA.3348-8636-2437-58196,2021-06-17,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,74055,4.61
GPA.3394-5928-1450-74875,2021-06-17,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,02721,4.61
